"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2024","1,656.60","1,665.15","1,679.35","1,647.60","4.25M","-0.75%"
"01/25/2024","1,669.10","1,672.95","1,680.55","1,658.00","8.87M","-0.38%"
"01/24/2024","1,675.40","1,659.90","1,680.00","1,645.00","9.00M","2.02%"
"01/23/2024","1,642.15","1,650.10","1,674.70","1,637.70","9.40M","-0.41%"
"01/20/2024","1,648.85","1,665.55","1,669.25","1,645.00","1.16M","-0.62%"
"01/19/2024","1,659.20","1,651.60","1,665.50","1,644.15","4.52M","1.01%"
"01/18/2024","1,642.60","1,642.65","1,649.00","1,628.25","6.38M","0.15%"
"01/17/2024","1,640.20","1,620.25","1,647.50","1,620.25","9.21M","0.53%"
"01/16/2024","1,631.55","1,644.80","1,648.50","1,625.00","6.50M","-1.24%"
"01/15/2024","1,652.10","1,644.95","1,664.95","1,636.00","13.23M","2.44%"
"01/12/2024","1,612.75","1,562.00","1,618.00","1,555.40","26.75M","7.93%"
"01/11/2024","1,494.20","1,524.90","1,525.00","1,486.60","11.30M","-1.69%"
"01/10/2024","1,519.90","1,524.95","1,535.45","1,505.00","4.10M","-0.61%"
"01/09/2024","1,529.30","1,541.90","1,553.00","1,525.85","4.41M","0.43%"
"01/08/2024","1,522.80","1,528.95","1,536.00","1,513.25","4.44M","-0.64%"
"01/05/2024","1,532.55","1,506.75","1,539.70","1,506.25","8.90M","1.31%"
"01/04/2024","1,512.70","1,504.95","1,519.75","1,492.90","7.06M","1.52%"
"01/03/2024","1,490.00","1,519.95","1,519.95","1,488.00","7.55M","-2.89%"
"01/02/2024","1,534.40","1,546.00","1,549.15","1,523.00","5.40M","-1.09%"
"01/01/2024","1,551.35","1,539.00","1,557.00","1,535.25","2.81M","0.55%"
"12/29/2023","1,542.90","1,541.05","1,559.45","1,540.00","4.39M","-1.26%"
"12/28/2023","1,562.65","1,568.95","1,568.95","1,555.00","5.70M","-0.28%"
"12/27/2023","1,567.10","1,544.00","1,570.00","1,544.00","4.23M","1.50%"
"12/26/2023","1,543.95","1,535.00","1,548.00","1,523.00","6.88M","-1.21%"
"12/22/2023","1,562.90","1,534.95","1,566.00","1,523.00","6.74M","1.75%"
"12/21/2023","1,536.00","1,521.25","1,546.65","1,521.25","5.32M","-0.03%"
"12/20/2023","1,536.40","1,565.05","1,583.50","1,530.00","6.59M","-1.41%"
"12/19/2023","1,558.30","1,570.10","1,573.95","1,543.25","4.22M","-0.39%"
"12/18/2023","1,564.35","1,567.95","1,593.00","1,560.30","6.47M","-0.89%"
"12/15/2023","1,578.40","1,523.05","1,588.55","1,521.00","18.40M","5.13%"
"12/14/2023","1,501.45","1,463.40","1,511.00","1,461.35","12.49M","3.62%"
"12/13/2023","1,449.00","1,476.00","1,476.05","1,433.15","8.55M","-1.83%"
"12/12/2023","1,476.05","1,477.50","1,490.00","1,467.65","6.10M","-0.84%"
"12/11/2023","1,488.50","1,490.00","1,498.00","1,482.00","3.86M","-0.18%"
"12/08/2023","1,491.15","1,470.40","1,494.70","1,466.25","6.32M","1.72%"
"12/07/2023","1,465.90","1,472.85","1,472.85","1,461.80","4.42M","-0.57%"
"12/06/2023","1,474.30","1,456.75","1,477.00","1,451.05","5.27M","1.40%"
"12/05/2023","1,453.95","1,465.80","1,466.90","1,442.00","5.12M","-0.71%"
"12/04/2023","1,464.35","1,460.45","1,471.90","1,449.30","5.51M","0.83%"
"12/01/2023","1,452.30","1,459.90","1,459.90","1,446.15","3.49M","-0.20%"
"11/30/2023","1,455.15","1,453.25","1,460.65","1,449.55","10.12M","-0.30%"
"11/29/2023","1,459.60","1,451.10","1,460.70","1,449.80","3.88M","1.17%"
"11/28/2023","1,442.70","1,444.00","1,445.00","1,427.05","3.76M","0.37%"
"11/24/2023","1,437.40","1,445.55","1,452.65","1,433.85","2.97M","-0.82%"
"11/23/2023","1,449.25","1,467.90","1,467.90","1,447.70","3.19M","-0.59%"
"11/22/2023","1,457.80","1,436.20","1,458.95","1,436.20","3.11M","1.31%"
"11/21/2023","1,439.00","1,442.00","1,450.00","1,436.75","3.79M","0.17%"
"11/20/2023","1,436.60","1,442.00","1,452.00","1,433.65","3.58M","-0.07%"
"11/17/2023","1,437.55","1,441.05","1,451.00","1,435.05","4.90M","-0.51%"
"11/16/2023","1,444.90","1,416.10","1,453.40","1,410.60","6.67M","2.44%"
"11/15/2023","1,410.50","1,399.00","1,414.00","1,393.00","8.55M","2.69%"
"11/13/2023","1,373.55","1,379.85","1,382.45","1,370.85","3.46M","-1.06%"
"11/12/2023","1,388.20","1,380.05","1,389.10","1,380.05","572.24K","1.41%"
"11/10/2023","1,368.85","1,369.95","1,373.15","1,361.00","2.94M","-0.43%"
"11/09/2023","1,374.80","1,395.90","1,397.50","1,370.05","5.50M","-1.16%"
"11/08/2023","1,391.00","1,405.00","1,405.00","1,386.45","3.55M","-0.95%"
